finyear,lgdstatecode,statename,lgddistrictcode,districtname,schemecode,totalbeneficiaries,totalmale,totalfemale,totaltransgender,totalsc,totalst,totalgen,totalobc,totalaadhaar,totalmobilenumber
2025-2026,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNDPS,105,81,24,0,0,0,105,0,102,85
2025-2026,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNOAPS,4597,2990,1607,0,6,175,4354,62,4515,4060
2025-2026,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNWPS,235,0,235,0,0,0,235,0,230,200
2025-2026,1,JAMMU AND KASHMIR,621,RAMBAN,IGNDPS,173,86,87,0,3,5,163,2,152,96
2025-2026,1,JAMMU AND KASHMIR,621,RAMBAN,IGNOAPS,2408,1715,693,0,40,99,2269,0,2185,1978
2025-2026,1,JAMMU AND KASHMIR,621,RAMBAN,IGNWPS,236,0,236,0,1,1,234,0,196,65
2025-2026,1,JAMMU AND KASHMIR,622,KULGAM,IGNDPS,112,65,47,0,3,6,102,1,111,103
2025-2026,1,JAMMU AND KASHMIR,622,KULGAM,IGNOAPS,4403,2451,1952,0,47,52,4005,299,4352,4220
2025-2026,1,JAMMU AND KASHMIR,622,KULGAM,IGNWPS,388,0,388,0,21,0,354,13,385,363
2025-2026,1,JAMMU AND KASHMIR,623,BANDIPORA,IGNDPS,117,71,46,0,1,16,100,0,117,47
2025-2026,1,JAMMU AND KASHMIR,623,BANDIPORA,IGNOAPS,4642,2952,1689,1,5,630,3963,44,4642,2061
2025-2026,1,JAMMU AND KASHMIR,623,BANDIPORA,IGNWPS,477,0,477,0,0,54,422,1,477,135
2025-2026,1,JAMMU AND KASHMIR,624,SAMBA,IGNDPS,58,32,26,0,8,6,43,1,58,37
2025-2026,1,JAMMU AND KASHMIR,624,SAMBA,IGNOAPS,3431,1624,1807,0,1102,84,2124,121,3411,3147
2025-2026,1,JAMMU AND KASHMIR,624,SAMBA,IGNWPS,121,0,121,0,12,2,106,1,120,43
2025-2026,1,JAMMU AND KASHMIR,625,SHOPIAN,IGNDPS,101,56,45,0,0,7,94,0,101,79
2025-2026,1,JAMMU AND KASHMIR,625,SHOPIAN,IGNOAPS,1575,1032,543,0,0,186,1389,0,1575,1239
2025-2026,1,JAMMU AND KASHMIR,625,SHOPIAN,IGNWPS,456,0,456,0,0,45,411,0,456,325
2025-2026,1,JAMMU AND KASHMIR,626,GANDERWAL,IGNDPS,110,60,50,0,0,14,68,28,110,100
2025-2026,1,JAMMU AND KASHMIR,626,GANDERWAL,IGNOAPS,4646,2667,1979,0,0,876,2283,1487,4645,4328
2025-2026,1,JAMMU AND KASHMIR,626,GANDERWAL,IGNWPS,176,0,176,0,1,44,79,52,176,167
2025-2026,1,JAMMU AND KASHMIR,627,REASI,IGNDPS,28,16,12,0,1,11,16,0,28,28
2025-2026,1,JAMMU AND KASHMIR,627,REASI,IGNOAPS,5260,2937,2323,0,60,3115,2067,18,5083,144
2025-2026,1,JAMMU AND KASHMIR,627,REASI,IGNWPS,97,0,97,0,1,36,59,1,97,96
2025-2026,1,JAMMU AND KASHMIR,7,KATHUA,IGNDPS,146,96,50,0,50,14,82,0,145,7
2025-2026,1,JAMMU AND KASHMIR,7,KATHUA,IGNOAPS,5148,2624,2524,0,1370,177,3146,455,5045,186
2025-2026,1,JAMMU AND KASHMIR,7,KATHUA,IGNWPS,523,0,523,0,210,26,284,3,509,4
2025-2026,1,JAMMU AND KASHMIR,8,KUPWARA,IGNDPS,132,70,62,0,1,0,89,42,132,117
2025-2026,1,JAMMU AND KASHMIR,8,KUPWARA,IGNOAPS,9590,5489,4100,1,61,673,5593,3263,9590,9053
2025-2026,1,JAMMU AND KASHMIR,8,KUPWARA,IGNWPS,489,0,489,0,4,10,270,205,489,449
2025-2026,10,BIHAR,188,ARARIA,IGNDPS,1263,700,563,0,140,9,1030,84,979,872
2025-2026,10,BIHAR,188,ARARIA,IGNOAPS,110634,58721,51902,11,12180,333,96745,1376,87902,77636
2025-2026,10,BIHAR,188,ARARIA,IGNWPS,24822,0,24822,0,3283,135,20275,1129,18998,17268
2025-2026,10,BIHAR,189,AURANAGABAD,IGNDPS,2033,1329,703,1,578,13,1360,82,1604,1524
2025-2026,10,BIHAR,189,AURANAGABAD,IGNOAPS,66486,31903,34539,44,21599,630,43590,667,52324,50309
2025-2026,10,BIHAR,189,AURANAGABAD,IGNWPS,7134,0,7134,0,2132,81,4433,488,5573,5602
2025-2026,10,BIHAR,190,BANKA,IGNDPS,1990,1148,842,0,213,61,1500,216,1630,1471
2025-2026,10,BIHAR,190,BANKA,IGNOAPS,63718,29352,34358,8,8199,1220,50483,3816,54900,53394
2025-2026,10,BIHAR,190,BANKA,IGNWPS,11415,0,11415,0,2053,436,7390,1536,9472,9521
2025-2026,10,BIHAR,191,BEGUSARAI,IGNDPS,3765,2146,1619,0,713,22,2554,476,3212,2817
2025-2026,10,BIHAR,191,BEGUSARAI,IGNOAPS,96466,43846,52612,8,19367,654,56403,20042,86692,79898
2025-2026,10,BIHAR,191,BEGUSARAI,IGNWPS,17082,0,17082,0,3313,92,9781,3896,15096,13806
2025-2026,10,BIHAR,192,BHAGALPUR,IGNDPS,2874,1698,1175,1,350,62,2324,138,2329,2252
2025-2026,10,BIHAR,192,BHAGALPUR,IGNOAPS,125795,61196,64589,10,15201,1087,107472,2035,104489,101851
2025-2026,10,BIHAR,192,BHAGALPUR,IGNWPS,15318,0,15318,0,1879,255,12372,812,12202,12203
2025-2026,10,BIHAR,193,BHOJPUR,IGNDPS,2813,1868,943,2,458,11,1732,612,2218,2234
2025-2026,10,BIHAR,193,BHOJPUR,IGNOAPS,96521,51518,44978,25,20679,1210,44200,30432,74579,75108
2025-2026,10,BIHAR,193,BHOJPUR,IGNWPS,10092,0,10092,0,2050,126,4385,3531,7485,7795
2025-2026,10,BIHAR,194,BUXAR,IGNDPS,1686,1015,671,0,354,37,1220,75,1369,1311
2025-2026,10,BIHAR,194,BUXAR,IGNOAPS,66681,31888,34765,28,14325,1132,49368,1856,59736,59425
2025-2026,10,BIHAR,194,BUXAR,IGNWPS,7176,0,7176,0,1312,117,5240,507,5885,5935
2025-2026,10,BIHAR,195,DARBHANGA,IGNDPS,4397,2543,1853,1,555,21,3153,668,3103,3311
2025-2026,10,BIHAR,195,DARBHANGA,IGNOAPS,150531,75932,74585,14,21839,500,103212,24980,116574,126054
2025-2026,10,BIHAR,195,DARBHANGA,IGNWPS,36983,0,36983,0,5874,132,23775,7202,27694,29558
2025-2026,10,BIHAR,196,GAYA,IGNDPS,1665,1055,610,0,407,31,1142,85,1375,1221
2025-2026,10,BIHAR,196,GAYA,IGNOAPS,148983,67048,81899,36,61247,912,82891,3933,127281,109901
2025-2026,10,BIHAR,196,GAYA,IGNWPS,15236,0,15236,0,6590,87,7644,915,12838,11618
2025-2026,10,BIHAR,197,GOPALGANJ,IGNDPS,3448,2115,1333,0,651,161,1533,1103,2402,2765
2025-2026,10,BIHAR,197,GOPALGANJ,IGNOAPS,63573,30639,32921,13,12700,2764,25578,22531,47535,55428
2025-2026,10,BIHAR,197,GOPALGANJ,IGNWPS,20279,0,20279,0,3681,733,7924,7941,14484,16971
2025-2026,10,BIHAR,198,JAMUI,IGNDPS,1599,953,481,165,385,86,323,805,1234,1217
2025-2026,10,BIHAR,198,JAMUI,IGNOAPS,57172,26946,30208,18,10492,3642,11990,31048,47562,46771
2025-2026,10,BIHAR,198,JAMUI,IGNWPS,8281,0,8281,0,1714,540,1854,4173,6998,6754
2025-2026,10,BIHAR,199,JEHANABAD,IGNDPS,378,221,157,0,62,15,223,78,259,225
2025-2026,10,BIHAR,199,JEHANABAD,IGNOAPS,34720,15056,19664,0,4330,1810,10949,17631,30661,26698
2025-2026,10,BIHAR,199,JEHANABAD,IGNWPS,5200,0,5200,0,837,295,1924,2144,4320,3781
2025-2026,10,BIHAR,200,KAIMUR (BHABUA),IGNDPS,1624,991,633,0,349,65,965,245,1306,1339
2025-2026,10,BIHAR,200,KAIMUR (BHABUA),IGNOAPS,60169,29233,30934,2,14603,2258,31592,11716,47960,50931
2025-2026,10,BIHAR,200,KAIMUR (BHABUA),IGNWPS,7976,0,7976,0,1575,269,4779,1353,6277,6953
2025-2026,10,BIHAR,201,KATIHAR,IGNDPS,2102,1275,825,2,111,22,1817,152,1639,1629
2025-2026,10,BIHAR,201,KATIHAR,IGNOAPS,89328,44467,44840,21,2842,1083,82995,2408,72337,70833
2025-2026,10,BIHAR,201,KATIHAR,IGNWPS,24400,0,24400,0,1200,612,20715,1873,19532,20426
2025-2026,10,BIHAR,202,KHAGARIA,IGNDPS,1846,1227,619,0,165,27,1453,201,1524,1495
2025-2026,10,BIHAR,202,KHAGARIA,IGNOAPS,54331,27645,26674,12,5044,650,45801,2836,45389,45170
2025-2026,10,BIHAR,202,KHAGARIA,IGNWPS,15163,0,15163,0,1623,271,11498,1771,12170,12412
2025-2026,10,BIHAR,203,KISHANGANJ,IGNDPS,3276,2038,1238,0,123,34,2811,308,2724,2569
2025-2026,10,BIHAR,203,KISHANGANJ,IGNOAPS,67016,37068,29941,7,1671,548,62283,2514,58210,57100
2025-2026,10,BIHAR,203,KISHANGANJ,IGNWPS,20569,0,20569,0,777,397,17807,1588,17525,17807
2025-2026,10,BIHAR,204,LAKHISARAI,IGNDPS,2371,1265,1106,0,327,28,1511,505,1854,1743
2025-2026,10,BIHAR,204,LAKHISARAI,IGNOAPS,36089,16234,19839,16,5221,629,13286,16953,31485,29737
2025-2026,10,BIHAR,204,LAKHISARAI,IGNWPS,4116,0,4116,0,684,34,1588,1810,3379,3181
2025-2026,10,BIHAR,205,MADHEPURA,IGNDPS,9569,6292,3275,2,726,102,8386,355,7385,7358
2025-2026,10,BIHAR,205,MADHEPURA,IGNOAPS,65276,32687,32585,4,6807,678,55616,2175,54933,54047
2025-2026,10,BIHAR,205,MADHEPURA,IGNWPS,16359,0,16359,0,2167,194,12326,1672,13143,13258
2025-2026,10,BIHAR,206,MADHUBANI,IGNDPS,9744,5620,4115,9,842,105,7771,1026,7488,7303
2025-2026,10,BIHAR,206,MADHUBANI,IGNOAPS,237912,115185,122687,40,15392,813,210999,10708,193015,186839
2025-2026,10,BIHAR,206,MADHUBANI,IGNWPS,34795,0,34795,0,2924,144,27609,4118,28094,27940
2025-2026,10,BIHAR,207,MUNGER,IGNDPS,1738,1036,702,0,297,27,1317,97,1400,1316
2025-2026,10,BIHAR,207,MUNGER,IGNOAPS,44008,20122,23885,1,5988,590,36046,1384,37912,35897
2025-2026,10,BIHAR,207,MUNGER,IGNWPS,8394,0,8394,0,1313,122,6277,682,6940,6581
2025-2026,10,BIHAR,208,MUZAFFARPUR,IGNDPS,3652,2430,1220,2,689,15,2806,142,3023,3082
2025-2026,10,BIHAR,208,MUZAFFARPUR,IGNOAPS,226573,113105,113448,20,43998,406,180237,1932,191118,193091
2025-2026,10,BIHAR,208,MUZAFFARPUR,IGNWPS,36542,0,36542,0,7704,128,26564,2146,29150,30758
2025-2026,10,BIHAR,209,NALANDA,IGNDPS,6505,3663,2839,3,1311,112,4354,728,5068,4916
2025-2026,10,BIHAR,209,NALANDA,IGNOAPS,120965,57990,62925,50,30944,1237,54603,34181,99618,98202
2025-2026,10,BIHAR,209,NALANDA,IGNWPS,15769,0,15769,0,3326,174,8313,3956,12733,12330
2025-2026,10,BIHAR,210,NAWADA,IGNDPS,2055,1125,929,1,452,18,868,717,1696,1581
2025-2026,10,BIHAR,210,NAWADA,IGNOAPS,80091,35527,44546,18,31349,434,16234,32074,62623,61885
2025-2026,10,BIHAR,210,NAWADA,IGNWPS,6465,0,6465,0,2275,73,1552,2565,4815,4933
2025-2026,10,BIHAR,211,PASHCHIM CHAMPARAN,IGNDPS,5622,3351,2269,2,762,195,3988,677,3825,4111
2025-2026,10,BIHAR,211,PASHCHIM CHAMPARAN,IGNOAPS,122646,63586,58992,68,11168,4274,98989,8215,95704,102971
2025-2026,10,BIHAR,211,PASHCHIM CHAMPARAN,IGNWPS,23640,0,23640,0,2469,985,17130,3056,16758,19300
2025-2026,10,BIHAR,212,PATNA,IGNDPS,4219,2450,1768,1,535,67,3039,578,2870,2265
2025-2026,10,BIHAR,212,PATNA,IGNOAPS,278410,130524,147780,106,52481,1789,160443,63697,178860,148544
2025-2026,10,BIHAR,212,PATNA,IGNWPS,21266,0,21266,0,3921,149,11884,5312,14730,12657
2025-2026,10,BIHAR,213,PURBI CHAMPARAN,IGNDPS,9960,5566,4383,11,898,797,7745,520,7269,6567
2025-2026,10,BIHAR,213,PURBI CHAMPARAN,IGNOAPS,173824,89499,84290,35,26182,1587,137793,8262,137155,123924
2025-2026,10,BIHAR,213,PURBI CHAMPARAN,IGNWPS,27427,0,27427,0,4619,306,18059,4443,20500,19548
2025-2026,10,BIHAR,214,PURNIA,IGNDPS,1950,1239,711,0,109,90,826,925,1510,1434
2025-2026,10,BIHAR,214,PURNIA,IGNOAPS,115254,61192,54044,18,9843,4679,37450,63282,94021,92621
2025-2026,10,BIHAR,214,PURNIA,IGNWPS,26320,0,26320,0,2519,1150,8177,14474,21227,21479
2025-2026,10,BIHAR,215,ROHTAS,IGNDPS,3252,1836,1416,0,319,38,2717,178,2666,2442
2025-2026,10,BIHAR,215,ROHTAS,IGNOAPS,93121,44418,48667,36,5963,435,83449,3274,80556,75651
2025-2026,10,BIHAR,215,ROHTAS,IGNWPS,12709,0,12709,0,1549,147,9748,1265,9932,9737
2025-2026,10,BIHAR,216,SAHARSA,IGNDPS,2109,1389,720,0,205,2,1316,586,1666,1658
2025-2026,10,BIHAR,216,SAHARSA,IGNOAPS,81686,38649,43020,17,11233,281,54118,16054,68993,66250
2025-2026,10,BIHAR,216,SAHARSA,IGNWPS,12568,0,12568,0,2088,66,7037,3377,9948,10197
2025-2026,10,BIHAR,217,SAMASTIPUR,IGNDPS,4608,2673,1929,6,701,22,3390,495,3889,3691
2025-2026,10,BIHAR,217,SAMASTIPUR,IGNOAPS,119892,60295,59586,11,29314,441,87167,2970,107058,103204
2025-2026,10,BIHAR,217,SAMASTIPUR,IGNWPS,30341,0,30341,0,7323,136,21137,1745,25567,24602
2025-2026,10,BIHAR,218,SARAN,IGNDPS,8924,4643,4281,0,1089,156,6939,740,7166,7261
2025-2026,10,BIHAR,218,SARAN,IGNOAPS,132376,59072,73263,41,11554,1211,113408,6203,111981,116110
2025-2026,10,BIHAR,218,SARAN,IGNWPS,18642,0,18642,0,2167,220,14115,2140,14820,15942
2025-2026,10,BIHAR,219,SHEIKHPURA,IGNDPS,1139,613,526,0,166,3,874,96,908,891
2025-2026,10,BIHAR,219,SHEIKHPURA,IGNOAPS,24206,10582,13614,10,2719,53,17849,3585,21238,20225
2025-2026,10,BIHAR,219,SHEIKHPURA,IGNWPS,3162,0,3162,0,415,11,2091,645,2644,2419
2025-2026,10,BIHAR,220,SHEOHAR,IGNDPS,478,323,155,0,28,1,400,49,403,326
2025-2026,10,BIHAR,220,SHEOHAR,IGNOAPS,31255,15868,15384,3,2133,28,28253,841,28793,27272
2025-2026,10,BIHAR,220,SHEOHAR,IGNWPS,3439,0,3439,0,279,4,2781,375,2914,2807
2025-2026,10,BIHAR,221,SITAMARHI,IGNDPS,3608,2134,1472,2,473,82,2664,389,2917,2955
2025-2026,10,BIHAR,221,SITAMARHI,IGNOAPS,127983,66048,61911,24,16937,862,86167,24017,103542,104239
2025-2026,10,BIHAR,221,SITAMARHI,IGNWPS,25450,0,25450,0,3476,286,16271,5417,20203,21812
2025-2026,10,BIHAR,222,SIWAN,IGNDPS,4943,2861,2081,1,779,305,2207,1652,3853,3781
2025-2026,10,BIHAR,222,SIWAN,IGNOAPS,98177,43106,55023,48,22994,5319,39740,30124,80160,82855
2025-2026,10,BIHAR,222,SIWAN,IGNWPS,14782,0,14782,0,3019,844,5993,4926,11220,11867
2025-2026,10,BIHAR,223,SUPAUL,IGNDPS,1036,609,427,0,157,17,661,201,869,865
2025-2026,10,BIHAR,223,SUPAUL,IGNOAPS,73036,36648,36382,6,8568,384,44447,19637,60595,63830
2025-2026,10,BIHAR,223,SUPAUL,IGNWPS,14605,0,14605,0,2082,127,7721,4675,11568,12532
2025-2026,10,BIHAR,224,VAISHALI,IGNDPS,3094,2156,938,0,718,5,783,1588,2456,2542
2025-2026,10,BIHAR,224,VAISHALI,IGNOAPS,168762,81593,87123,46,41907,504,32305,94046,142975,145314
2025-2026,10,BIHAR,224,VAISHALI,IGNWPS,25170,0,25170,0,6390,112,5108,13560,20580,21438
2025-2026,10,BIHAR,611,ARWAL,IGNDPS,2877,1720,1157,0,395,26,2393,63,2219,2130
2025-2026,10,BIHAR,611,ARWAL,IGNOAPS,27183,12396,14783,4,2731,69,23753,630,21934,21564
2025-2026,10,BIHAR,611,ARWAL,IGNWPS,5131,0,5131,0,392,4,4417,318,3810,3851
2025-2026,11,SIKKIM,225,EAST DISTRICT,IGNDPS,59,32,27,0,8,19,17,15,0,6
2025-2026,11,SIKKIM,225,EAST DISTRICT,IGNOAPS,6436,3218,3218,0,0,1,0,6435,1,2593
2025-2026,11,SIKKIM,225,EAST DISTRICT,IGNWPS,661,0,661,0,60,231,222,148,0,132
2025-2026,11,SIKKIM,226,NORTH DISTRICT,IGNDPS,31,20,11,0,0,29,0,2,0,0
2025-2026,11,SIKKIM,226,NORTH DISTRICT,IGNOAPS,837,422,415,0,6,807,19,5,0,0
2025-2026,11,SIKKIM,226,NORTH DISTRICT,IGNWPS,73,0,73,0,2,71,0,0,0,0
2025-2026,11,SIKKIM,227,SOUTH DISTRICT,IGNDPS,190,117,73,0,13,57,65,55,0,97
2025-2026,11,SIKKIM,227,SOUTH DISTRICT,IGNOAPS,4345,2358,1987,0,193,1288,1360,1504,0,2735
2025-2026,11,SIKKIM,227,SOUTH DISTRICT,IGNWPS,311,0,311,0,37,93,99,82,0,139
2025-2026,11,SIKKIM,228,WEST DISTRICT,IGNDPS,165,86,79,0,13,65,47,40,0,0
2025-2026,11,SIKKIM,228,WEST DISTRICT,IGNOAPS,4913,2709,2204,0,210,2085,1426,1192,0,0
2025-2026,11,SIKKIM,228,WEST DISTRICT,IGNWPS,398,0,398,0,21,204,99,74,0,0
2025-2026,12,ARUNACHAL PRADESH,229,CHANGLANG,IGNDPS,230,133,97,0,0,230,0,0,140,202
2025-2026,12,ARUNACHAL PRADESH,229,CHANGLANG,IGNOAPS,2469,1158,1311,0,0,2469,0,0,1761,2268
2025-2026,12,ARUNACHAL PRADESH,229,CHANGLANG,IGNWPS,349,0,349,0,0,349,0,0,230,319
2025-2026,12,ARUNACHAL PRADESH,230,UPPER DIBANG VALLEY,IGNDPS,38,19,19,0,0,38,0,0,31,0
2025-2026,12,ARUNACHAL PRADESH,230,UPPER DIBANG VALLEY,IGNOAPS,242,72,170,0,0,242,0,0,160,0
2025-2026,12,ARUNACHAL PRADESH,230,UPPER DIBANG VALLEY,IGNWPS,78,0,78,0,0,78,0,0,51,0
2025-2026,12,ARUNACHAL PRADESH,231,EAST KAMENG,IGNDPS,179,101,78,0,0,179,0,0,0,0
2025-2026,12,ARUNACHAL PRADESH,231,EAST KAMENG,IGNOAPS,1461,448,1013,0,0,1461,0,0,911,0
2025-2026,12,ARUNACHAL PRADESH,231,EAST KAMENG,IGNWPS,465,0,465,0,0,465,0,0,310,0
2025-2026,12,ARUNACHAL PRADESH,232,EAST SIANG,IGNDPS,196,102,94,0,0,196,0,0,102,0
2025-2026,12,ARUNACHAL PRADESH,232,EAST SIANG,IGNOAPS,2680,884,1796,0,0,2680,0,0,1671,0
2025-2026,12,ARUNACHAL PRADESH,232,EAST SIANG,IGNWPS,290,0,290,0,0,290,0,0,198,0
2025-2026,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,IGNDPS,193,113,80,0,0,193,0,0,63,0
2025-2026,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,IGNOAPS,1909,683,1226,0,0,1909,0,0,860,0
2025-2026,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,IGNWPS,391,0,391,0,0,391,0,0,168,0
2025-2026,12,ARUNACHAL PRADESH,234,LOHIT,IGNDPS,22,12,10,0,0,19,3,0,14,0
2025-2026,12,ARUNACHAL PRADESH,234,LOHIT,IGNOAPS,1368,459,909,0,0,1368,0,0,818,0
2025-2026,12,ARUNACHAL PRADESH,234,LOHIT,IGNWPS,136,0,136,0,0,136,0,0,84,0
2025-2026,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNDPS,101,68,33,0,0,99,2,0,81,12
2025-2026,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNOAPS,1470,498,972,0,0,1470,0,0,1130,167
2025-2026,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNWPS,200,0,200,0,0,144,55,1,145,30
2025-2026,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,IGNDPS,102,58,44,0,0,102,0,0,45,0
2025-2026,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,IGNOAPS,2139,519,1620,0,0,2139,0,0,1187,0
2025-2026,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,IGNWPS,293,0,293,0,0,293,0,0,174,0
2025-2026,12,ARUNACHAL PRADESH,237,PAPUM PARE,IGNDPS,274,167,107,0,0,274,0,0,168,0
2025-2026,12,ARUNACHAL PRADESH,237,PAPUM PARE,IGNOAPS,3230,1073,2157,0,0,3230,0,0,2467,0
2025-2026,12,ARUNACHAL PRADESH,237,PAPUM PARE,IGNWPS,421,0,421,0,0,421,0,0,303,0
2025-2026,12,ARUNACHAL PRADESH,238,TAWANG,IGNDPS,129,62,67,0,0,129,0,0,74,13
2025-2026,12,ARUNACHAL PRADESH,238,TAWANG,IGNOAPS,2141,851,1290,0,0,2141,0,0,1505,81
2025-2026,12,ARUNACHAL PRADESH,238,TAWANG,IGNWPS,201,0,201,0,0,201,0,0,133,12
2025-2026,12,ARUNACHAL PRADESH,239,TIRAP,IGNDPS,163,91,72,0,0,163,0,0,85,0
2025-2026,12,ARUNACHAL PRADESH,239,TIRAP,IGNOAPS,2860,1318,1542,0,0,2860,0,0,1342,0
2025-2026,12,ARUNACHAL PRADESH,239,TIRAP,IGNWPS,277,0,277,0,0,277,0,0,157,0
2025-2026,12,ARUNACHAL PRADESH,240,UPPER SIANG,IGNDPS,86,47,39,0,0,86,0,0,42,0
2025-2026,12,ARUNACHAL PRADESH,240,UPPER SIANG,IGNOAPS,2067,875,1192,0,0,2067,0,0,1132,17
2025-2026,12,ARUNACHAL PRADESH,240,UPPER SIANG,IGNWPS,88,0,88,0,0,88,0,0,61,0
2025-2026,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,IGNDPS,228,63,165,0,0,228,0,0,44,0
2025-2026,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,IGNOAPS,2949,937,2012,0,0,2949,0,0,1471,0
2025-2026,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,IGNWPS,712,0,712,0,0,712,0,0,510,0
2025-2026,12,ARUNACHAL PRADESH,242,WEST KAMENG,IGNDPS,129,79,50,0,0,129,0,0,56,0
2025-2026,12,ARUNACHAL PRADESH,242,WEST KAMENG,IGNOAPS,2193,958,1235,0,0,2193,0,0,1127,0
2025-2026,12,ARUNACHAL PRADESH,242,WEST KAMENG,IGNWPS,413,0,413,0,0,413,0,0,226,0
2025-2026,12,ARUNACHAL PRADESH,243,WEST SIANG,IGNDPS,160,87,73,0,0,160,0,0,106,1
2025-2026,12,ARUNACHAL PRADESH,243,WEST SIANG,IGNOAPS,3627,1386,2241,0,0,3627,0,0,1656,99
2025-2026,12,ARUNACHAL PRADESH,243,WEST SIANG,IGNWPS,351,0,351,0,0,351,0,0,231,2
2025-2026,12,ARUNACHAL PRADESH,628,ANJAW,IGNDPS,74,51,23,0,0,74,0,0,51,0
2025-2026,12,ARUNACHAL PRADESH,628,ANJAW,IGNOAPS,986,377,609,0,0,985,1,0,650,0
